,date,store,impressions,clicks,total cost,revenue_channel_1,revenue_channel_2,revenue_channel_3,revenue_channel_other
0,2019-04-02,Store A,442586,10032,3993.19,25893.68,5311.01,943.6,2276.79
1,2020-09-03,Store A,598741,12660,5522.14,23652.77,12027.59,1503.52,4910.31
2,2021-01-28,Store B,62277,4774,4598.86,8213.75,1090.3,922.45,922.5
3,2019-05-15,Store B,93314,5623,3751.7700000000004,5858.95,1299.88,744.6500000000001,1006.55
4,2019-07-03,Store A,386700,10070,4345.33,33710.54,6027.6,432.49,1734.71
5,2020-06-26,Store A,591611,14532,5927.799999999999,37077.38,9981.2,1585.48,4146.25
6,2020-09-22,Store A,555531,12072,5256.32,26638.5,9032.58,1507.67,3280.27
7,2019-02-05,Store A,410408,9068,3638.34,22739.880000000005,10930.94,1822.5299999999997,2036.0899999999997
8,2021-05-26,Store C,67423,1374,1316.83,4336.47,2093.8,420.0,1632.63
9,2020-06-05,Store C,162958,2762,1846.9499999999998,3677.38,1639.51,789.85,513.9
10,2020-07-09,Store B,125465,8802,6513.44,11148.58,1891.5100000000002,2703.41,1009.24
11,2020-03-22,Store C,164242,2213,1299.96,2791.43,953.63,785.84,469.95
12,2020-06-03,Store A,600413,14825,5687.219999999999,38721.0,11103.96,998.39,4122.37
13,2019-07-07,Store B,81785,5720,4123.54,7213.52,816.46,571.8,673.7
14,2019-03-14,Store A,300409,8144,3530.66,28063.5,13954.21,1191.5,2657.17
15,2019-03-18,Store A,314846,9079,3827.37,17672.07,15351.29,1762.48,1415.43
16,2020-10-28,Store A,427237,10131,4772.42,19947.21,5374.16,521.85,1568.7
17,2020-02-19,Store A,421912,9510,4060.04,16438.74,15013.0,2443.27,842.69
18,2019-09-23,Store D,190863,3005,1624.48,420.0,420.0,420.0,420.0
19,2020-05-30,Store C,150681,2233,1263.97,3670.12,996.45,650.7900000000001,420.0
20,2019-11-17,Store C,64439,1220,937.79,1605.57,514.9,499.95,709.9
21,2022-01-12,Store A,282942,8044,4318.97,9946.05,8892.69,896.4,1173.6699999999998
22,2020-07-11,Store C,120938,2061,1354.79,3244.41,1463.5,420.0,756.19
23,2020-07-11,Store A,590541,13439,5340.16,27460.240000000005,7841.92,1795.0700000000002,8649.11
24,2020-11-10,Store B,66646,5345,4706.29,7595.15,1256.23,1001.3,857.64
25,2020-10-20,Store C,91141,1722,1469.09,4249.030000000001,1775.05,469.95,1251.6
26,2021-09-12,Store B,58287,4403,4662.47,9118.21,526.9,737.6999999999999,649.22
27,2021-11-07,Store B,41598,3724,4532.24,10032.14,837.65,1134.25,903.6
28,2021-10-14,Store A,261435,7172,3895.22,18806.82,2819.29,2855.0599999999995,1244.67
29,2022-03-21,Store A,267019,7809,4262.26,13910.869999999999,4478.67,1084.89,2765.1499999999996
30,2020-09-18,Store C,137652,1843,1534.25,4760.62,1207.39,420.0,1105.4299999999998
31,2021-07-01,Store B,49728,5095,5194.07,9317.89,1773.86,899.5,827.73
32,2022-05-31,Store C,51855,1003,1318.0700000000002,2868.2,1022.4,420.0,420.0
33,2022-06-17,Store A,169636,5767,3571.54,13825.36,5389.76,420.0,1318.55
34,2021-02-20,Store D,23883,1822,1723.4,1303.0099999999998,441.95,420.0,721.6800000000001
35,2020-08-11,Store D,100177,2651,1828.4899999999998,420.0,420.0,420.0,698.9499999999999
36,2019-10-16,Store A,413747,9868,4459.24,26338.43,4228.3,1361.5100000000002,3388.36
37,2020-12-19,Store C,70892,1361,1152.92,2118.0299999999997,656.34,420.0,420.0
38,2020-01-06,Store D,153176,2742,1568.0500000000002,420.0,1764.34,420.0,420.0
39,2020-02-29,Store D,123156,2184,1623.41,420.0,420.0,574.9,420.0
40,2019-04-12,Store D,153781,2886,1966.24,484.95,461.95,497.84999999999997,420.0
41,2019-04-21,Store B,86021,4711,3092.51,4864.22,649.85,1283.21,1071.75
42,2019-05-26,Store B,82184,4992,3455.69,5340.48,760.5899999999999,886.5,596.6899999999999
43,2020-06-27,Store A,583636,14624,5553.58,34742.99,6657.94,1019.1700000000001,6364.32
44,2019-09-16,Store C,58528,1383,1112.65,2009.0100000000002,642.27,420.0,798.8599999999999
